"team","score","event","ranking","eventname"
"Endpoint CeX",301,1,1,"fall_reg1"
"Team BDS",250,1,2,"fall_reg1"
"Dignitas",200,1,3,"fall_reg1"
"Karmine Corp",200,1,4,"fall_reg1"
"Evil Geniuses",150,1,5,"fall_reg1"
"Misfits Gaming",150,1,6,"fall_reg1"
"SMPR Esports",150,1,7,"fall_reg1"
"Williams Resolve",150,1,8,"fall_reg1"
"00 Nation DNB",110,1,9,"fall_reg1"
"Heroic",110,1,10,"fall_reg1"
"Moist Esports",110,1,11,"fall_reg1"
"Guild Esports",70,1,12,"fall_reg1"
"Natus Vincere",70,1,13,"fall_reg1"
"Vodafone Giants",70,1,14,"fall_reg1"
"Luminosity Gaming",40,1,15,"fall_reg1"
"Team Vitality",40,1,16,"fall_reg1"
"Aogiri",0,1,17,"fall_reg1"
"BS+COMPETITION",0,1,18,"fall_reg1"
"FC Barcelona",0,1,19,"fall_reg1"
"GROS NOOBZ",0,1,20,"fall_reg1"
"Juicers",0,1,21,"fall_reg1"
"Rix.GG",0,1,22,"fall_reg1"
"SK Gaming",0,1,23,"fall_reg1"
"Solary",0,1,24,"fall_reg1"
"Stormtroopers",0,1,25,"fall_reg1"
"Team Liquid",0,1,26,"fall_reg1"
"Team Singularity",0,1,27,"fall_reg1"
"The Bricks",0,1,28,"fall_reg1"
"Wolves Esports",0,1,29,"fall_reg1"
"WYLDE",0,1,30,"fall_reg1"
"Dignitas",501,2,1,"fall_reg2"
"Team BDS",450,2,2,"fall_reg2"
"Endpoint CeX",411,2,3,"fall_reg2"
"Misfits Gaming",350,2,4,"fall_reg2"
"SMPR Esports",300,2,5,"fall_reg2"
"Team Vitality",290,2,6,"fall_reg2"
"00 Nation DNB",260,2,7,"fall_reg2"
"Evil Geniuses",260,2,8,"fall_reg2"
"Heroic",260,2,9,"fall_reg2"
"Karmine Corp",240,2,10,"fall_reg2"
"Williams Resolve",220,2,11,"fall_reg2"
"Luminosity Gaming",190,2,12,"fall_reg2"
"Moist Esports",180,2,13,"fall_reg2"
"Vodafone Giants",140,2,14,"fall_reg2"
"FC Barcelona",110,2,15,"fall_reg2"
"Natus Vincere",110,2,16,"fall_reg2"
"Guild Esports",70,2,17,"fall_reg2"
"Aogiri",0,2,18,"fall_reg2"
"BS+COMPETITION",0,2,19,"fall_reg2"
"GROS NOOBZ",0,2,20,"fall_reg2"
"Juicers",0,2,21,"fall_reg2"
"Rix.GG",0,2,22,"fall_reg2"
"SK Gaming",0,2,23,"fall_reg2"
"Solary",0,2,24,"fall_reg2"
"Stormtroopers",0,2,25,"fall_reg2"
"Team Liquid",0,2,26,"fall_reg2"
"Team Singularity",0,2,27,"fall_reg2"
"The Bricks",0,2,28,"fall_reg2"
"Wolves Esports",0,2,29,"fall_reg2"
"WYLDE",0,2,30,"fall_reg2"
"Endpoint CeX",712,3,1,"fall_reg3"
"Dignitas",701,3,2,"fall_reg3"
"Team BDS",650,3,3,"fall_reg3"
"SMPR Esports",550,3,4,"fall_reg3"
"Team Vitality",440,3,5,"fall_reg3"
"Evil Geniuses",410,3,6,"fall_reg3"
"Karmine Corp",390,3,7,"fall_reg3"
