team,fall_reg1,fall_reg2,fall_reg3,fall_maj,win_reg1,win_reg2,win_reg3,win_maj,spr_reg1,spr_reg2,spr_reg3,spr_maj
FURIA Esports,301,150,301,140,160,351,351,380,300,401,401,420
Team Secret,250,200,200,0,351,300,220,120,401,300,300,260
The Club,200,301,150,80,260,260,300,0,250,350,350,0
KRÜ Esports,0,0,0,0,300,190,190,0,350,250,250,0
EndGame,150,110,250,0,110,110,260,0,210,180,130,0
Hawks,200,150,110,0,220,60,190,0,130,210,180,0
Vipers eSports,150,200,150,0,190,160,160,0,180,130,130,0
Leviatán,70,70,150,0,110,110,110,0,180,180,210,0
Atypical,0,0,0,0,0,190,110,0,130,210,80,0
Hallzs,110,70,70,0,110,110,60,0,80,80,0,0
Novus Aevi,0,0,0,0,0,0,0,0,210,80,210,0
Team Tooth,0,0,0,0,0,0,0,0,80,130,180,0
True Neutral,0,0,0,0,60,0,0,0,130,0,130,0
The Three Sins,0,0,0,0,0,0,0,0,0,130,80,0
Elevate,110,250,200,0,160,60,110,-890,80,80,130,0
balaio beautiful,0,0,0,0,0,0,0,0,80,-80,80,0
Bronx,0,0,0,0,0,0,0,0,0,80,0,0
Team Disorder,110,110,110,0,-330,220,60,0,130,130,80,0
Los Malvekes,0,0,0,0,60,0,0,-60,0,0,0,0
Chromax,0,0,0,0,190,110,160,-460,0,0,0,0
Emit7,40,0,-40,0,0,0,0,0,0,0,0,0
Endlxss Team,0,70,40,0,-110,0,0,0,0,0,0,0
Ex-Elevate,70,150,150,0,-370,0,0,0,0,0,0,0
FTW Esports,40,40,40,0,-120,0,0,0,0,0,0,0
Guidance Gaming,150,110,70,0,60,0,0,-60,0,0,0,0
InControl Nation,0,0,0,0,0,60,0,-60,0,0,0,0
LeaveNoWitness,0,0,0,0,60,0,60,-120,0,0,0,0
Legacy,0,0,110,0,0,-110,60,-60,0,0,0,0
Papo de Visão,0,0,0,0,0,160,110,-270,0,0,0,0
RED,0,0,0,0,0,60,0,-60,0,0,0,0
Red Crown Esports,0,0,0,0,110,0,0,0,-110,0,0,0
Shoot'em,70,40,0,0,-110,0,0,0,0,0,0,0
Team Signal,150,150,70,0,-370,0,0,0,0,0,0,0
